Application, Window Text, Action Object, Object Text, Time(1 = 100 nanosec)
helloworld.Form1, Text: 実験開始, System.Windows.Forms.Button, Text: 実験を開始する, 6680668
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 100, 11131113
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 100, 13201320
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 100, 14401440
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 食券を選ぶ, 16611661
helloworld.selectMenu, Text: 購入したい食券を選択してください, System.Windows.Forms.Button, Text: button102, 28261875
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 500, 39281875
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 500, 40731875
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 食券を選ぶ, 46181875
helloworld.selectMenu, Text: 購入したい食券を選択してください, System.Windows.Forms.Button, Text: button102, 61911875
